[2025-04-27 10:33:13] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-27 10:33:15] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-04-27 10:33:18] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/1 | Enemy OHAYO to post1-chan
[2025-04-27 10:33:19] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-04-27 10:33:20] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /post/2 | Enemy OHAYO to post2-chan
[2025-04-27 10:33:21] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-27 10:33:21] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: / | Enemy OHAYO to P ZONE
[2025-04-27 10:33:24] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-27 10:33:28] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: POST | Endpoint: /login | Enemy say DAME H ZONE with the credentials admin`:admin123!
[2025-04-27 10:33:31] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: GET | Endpoint: /login |  Enemy OHAYO the H ZONE!
[2025-04-27 10:33:36] IP: 192.168.253.136 | Forwarded-For: 192.168.253.136 | UA: Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | Method: POST | Endpoint: /login | Enemy say NAKA H ZONE with the credentials admin:admin123!
